stationId,name,city,district,totalDocks,bikeRisk,dockRisk,combinedRisk,workdayBikePeakTime,workdayBikePeakRate,workdayDockPeakTime,workdayDockPeakRate,weekendBikePeakTime,weekendBikePeakRate,weekendDockPeakTime,weekendDockPeakRate,clusterId,clusterSize,latitude,longitude
st_86653145416ac6,"平溪國中",新北市,平溪區,55,0.768,0.000,0.768,18:00,0.938,,,18:00,0.833,,,st_86653145416ac6,1,25.02348,121.73422
st_cc1e95adbdadba,"寶橋路29巷",新北市,新店區,10,0.434,0.212,0.646,09:00,0.962,18:00,0.731,23:00,0.962,15:00,0.769,st_cc1e95adbdadba,3,24.97492,121.54389
st_4cac7851513aec,"新北捷運環狀線南機廠",新北市,新店區,21,0.640,0.003,0.643,08:00,0.962,23:30,0.040,23:30,0.846,05:30,0.038,st_4cac7851513aec,2,24.98343,121.52891
st_023bc09e7858a3,"捷運江子翠站(4號出口)",新北市,板橋區,11,0.354,0.269,0.623,00:30,1.000,08:00,0.923,23:00,1.000,12:30,0.769,st_023bc09e7858a3,6,25.02946,121.47307
st_cefa1b3fee735f,"金城裕民路口(中正國中)",新北市,土城區,54,0.615,0.000,0.615,18:30,0.962,,,18:00,0.808,,,st_cefa1b3fee735f,1,24.98288,121.45619
st_e6c00776b34974,"審計人員訓練大樓",新北市,中和區,10,0.358,0.246,0.604,10:00,0.885,19:30,0.731,16:30,0.846,22:00,0.654,st_e6c00776b34974,1,24.98184,121.50956
st_dcca95a6ce79ce,"捷運江子翠站(6號出口)",新北市,板橋區,22,0.439,0.163,0.602,23:30,1.000,09:00,0.800,22:00,1.000,11:30,0.538,st_023bc09e7858a3,6,25.03106,121.47314
st_5eb9c65d997f70,"捷運江子翠站(1號出口)",新北市,板橋區,13,0.401,0.190,0.591,23:30,0.962,07:30,0.885,23:30,0.923,10:30,0.615,st_023bc09e7858a3,6,25.03043,121.47162
st_905a6253b1e815,"台水新莊服務所",新北市,新莊區,36,0.587,0.000,0.587,07:00,0.923,16:00,0.038,05:30,0.962,,,st_905a6253b1e815,2,25.04152,121.46019
st_e2b5a41a5b6964,"捷運七張站(1號出口)",新北市,新店區,42,0.564,0.008,0.572,22:30,0.962,07:30,0.077,00:30,0.962,14:30,0.154,st_cc1e95adbdadba,3,24.975,121.54277
st_c73f9b3d0aebdc,"中正思源路口(東北側)",新北市,新莊區,45,0.570,0.001,0.570,23:00,0.920,16:30,0.038,00:30,0.962,,,st_905a6253b1e815,2,25.03938,121.46103
st_d2dc235de9a7ce,"淡金路38巷尾",新北市,淡水區,10,0.231,0.337,0.568,07:30,0.654,05:30,0.960,17:30,0.692,05:30,0.962,st_d2dc235de9a7ce,1,25.16083,121.4579
st_21bac96ef28b0d,"捷運大坪林站(1號出口)",新北市,新店區,47,0.536,0.029,0.565,23:30,1.000,16:30,0.308,23:30,1.000,18:00,0.385,st_21bac96ef28b0d,3,24.9828,121.541
st_89910ead489a27,"寶強文化路口",新北市,新店區,11,0.404,0.160,0.565,07:30,0.846,10:00,0.577,07:30,0.846,16:00,0.462,st_89910ead489a27,2,24.97914,121.54351
st_935d60e304ac55,"中華電信學院",新北市,板橋區,9,0.419,0.142,0.561,18:30,0.923,09:00,0.538,11:30,0.808,23:30,0.423,st_935d60e304ac55,1,25.00801,121.46684
st_c30f45037c8fcf,"捷運江子翠站(2號出口)",新北市,板橋區,26,0.373,0.186,0.559,23:30,0.962,08:30,0.885,23:30,0.923,13:30,0.615,st_023bc09e7858a3,6,25.02999,121.472
st_58b945bd309047,"捷運江子翠站(5號出口)",新北市,板橋區,31,0.453,0.094,0.547,00:30,1.000,14:30,0.520,23:30,0.962,13:30,0.269,st_023bc09e7858a3,6,25.03046,121.47291
st_e2743efa661be7,"湳雅夜市停車場",新北市,板橋區,10,0.334,0.210,0.544,16:00,0.769,05:30,0.538,14:30,0.731,07:00,0.500,st_e2743efa661be7,1,25.00557,121.45345
st_f8b6702dd37bcf,"中正民權路口",新北市,新店區,92,0.524,0.016,0.539,03:30,1.000,16:00,0.308,18:00,0.846,17:30,0.038,st_f8b6702dd37bcf,1,24.98263,121.5336
