"日/時","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","總和"
"01","T","0.5","0.5","T","1.0","1.0","1.0","1.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","T","6.0"
"02","0.5","0.0","T","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","T","2.0","T","1.0","3.5"
"03","0.5","T","0.0","0.0","0.0","0.0","T","T","3.0","4.5","0.5","0.5","1.5","T","0.5","1.5","T","T","T","0.0","0.0","0.0","0.0","0.0","12.5"
"04","0.0","0.0","0.0","0.0","0.0","T","T","T","1.5","2.5","0.5","T","1.0","6.0","5.5","1.5","T","0.0","T","0.0","0.0","T","T","0.5","19.0"
"05","1.5","T","0.0","0.0","0.0","0.0","0.5","T","0.5","T","T","0.0","0.0","0.0","0.0","0.0","T","T","0.5","0.0","0.0","0.0","0.0","0.0","3.0"
"06","0.0","0.0","0.0","0.0","T","T","0.5","0.5","0.0","0.0","0.0","0.0","0.0","T","T","T","T","T","T","T","0.0","T","0.0","T","1.0"
"07","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"08","0.0","T","T","T","0.0","T","0.0","0.0","0.0","0.0","0.0","T","T","0.0","0.0","T","0.0","0.0","0.0","0.0","T","T","T","T","T"
"09","T","T","T","0.5","1.0","T","0.5","0.0","T","T","T","0.5","T","T","0.0","T","T","T","0.5","T","0.5","T","T","T","3.5"
"10","0.0","T","T","0.5","0.5","1.0","1.0","0.5","1.0","T","0.5","0.5","1.0","1.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","8.5"
"11","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"12","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"13","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"14","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
