stationId,name,district,totalDocks,bikeRisk
st_86653145416ac6,平溪國中,平溪區,55,0.768
st_4cac7851513aec,新北捷運環狀線南機廠,新店區,21,0.640
st_cefa1b3fee735f,金城裕民路口(中正國中),土城區,54,0.615
st_905a6253b1e815,台水新莊服務所,新莊區,36,0.587
st_c73f9b3d0aebdc,中正思源路口(東北側),新莊區,45,0.570
st_e2b5a41a5b6964,捷運七張站(1號出口),新店區,42,0.564
st_f1f74c2b3a6bd1,捷運十四張站,新店區,95,0.537
st_21bac96ef28b0d,捷運大坪林站(1號出口),新店區,47,0.536
st_4b8b908910d8dc,板橋戶政事務所海山辦事處,板橋區,50,0.532
st_a2a50e0208617e,忠誠里(北新路2段97巷),新店區,40,0.531
st_f8b6702dd37bcf,中正民權路口,新店區,92,0.524
st_19a1d6c3d1b84c,文化路二段182巷1弄,板橋區,49,0.520
st_147f91b455c48a,捷運新埔站(4號出口),板橋區,70,0.506
st_ac8232157fdd65,十分遊客中心,平溪區,42,0.505
st_ec02bec3ca53d8,捷運新北產業園區站,新莊區,70,0.503
